#RA, Dec, RefStar, Centroid, Mag
06:30:32.80, +29:40:20.28, 0, 1, 99.999
06:30:47.77, +29:35:30.40, 1, 1, 9.952
06:31:09.51, +29:47:47.80, 1, 1, 10.412
06:30:39.80, +29:37:40.50, 1, 1, 11.485
06:30:16.17, +29:33:45.10, 1, 1, 12.096
06:30:22.63, +29:44:42.10, 1, 1, 12.251
06:30:31.88, +29:42:27.30, 1, 1, 12.943
06:31:08.10, +29:41:52.80, 1, 1, 13.833
#
#Ap, Auid, RA, Dec, RefStar, Centroid, Mag
#T1, wasp 12, 06:30:32.80, +29:40:20.28, 0, 1, 99.999
#C2, 000-BKG-164, 06:30:47.77, +29:35:30.40, 1, 1, 9.952
#C3, 000-BKG-165, 06:31:09.51, +29:47:47.80, 1, 1, 10.412
#C4, 000-BKG-166, 06:30:39.80, +29:37:40.50, 1, 1, 11.485
#C5, 000-BKK-420, 06:30:16.17, +29:33:45.10, 1, 1, 12.096
#C6, 000-BMX-310, 06:30:22.63, +29:44:42.10, 1, 1, 12.251
#C7, 000-BKG-167, 06:30:31.88, +29:42:27.30, 1, 1, 12.943
#C8, 000-BKG-168, 06:31:08.10, +29:41:52.80, 1, 1, 13.833
#B
